CustomerID,FarmerName,County,RegionID,Country,RegistrationDate,ProductID,PaymentType,IsActive,ChurnDate,ChurnReason
CUST-00001,Paul Githinji,Bomet,REG-02,Kenya,2024-01-21,PROD-005,PAYG,1,,
CUST-00002,Isaac Githinji,Uasin Gishu,REG-02,Kenya,2026-03-31,PROD-001,Cash,1,,
CUST-00003,Lucy Mutua,Bomet,REG-02,Kenya,2025-08-11,PROD-001,Cash,1,,
CUST-00004,Patrick Otieno,Kisumu,REG-03,Kenya,2025-01-19,PROD-002,PAYG,1,,
CUST-00005,Mamadou Diallo,Bouaké,REG-08,Côte d'Ivoire,2024-10-29,PROD-001,PAYG,1,,
CUST-00006,Priscilla Kimani,Nandi,REG-02,Kenya,2024-08-20,PROD-006,Cash,1,,
CUST-00007,Anita Atuhaire,Mbale,REG-07,Uganda,2026-04-19,PROD-005,PAYG,0,2026-04-30,Moved/sold farm
CUST-00008,Wanjiku Kiptoo,Bomet,REG-02,Kenya,2023-12-03,PROD-001,PAYG,1,,
CUST-00009,Ruth Korir,Trans-Nzoia,REG-02,Kenya,2026-02-12,PROD-002,PAYG,1,,
CUST-00010,Alice Mbugua,Kisumu,REG-03,Kenya,2024-10-22,PROD-005,Cash,0,2026-04-10,Financial hardship
CUST-00011,Ivan Mugisha,Kampala,REG-07,Uganda,2024-12-02,PROD-001,PAYG,1,,
CUST-00012,Patrick Kiptoo,Uasin Gishu,REG-02,Kenya,2025-05-02,PROD-004,PAYG,0,2026-01-14,Moved/sold farm
CUST-00013,Marie Koffi,Yamoussoukro,REG-08,Côte d'Ivoire,2023-10-31,PROD-003,Cash,1,,
CUST-00014,Peter Ochieng,Trans-Nzoia,REG-02,Kenya,2026-04-19,PROD-002,Cash,1,,
CUST-00015,Faith Kipchoge,Nyeri,REG-01,Kenya,2024-10-29,PROD-001,Cash,0,2025-03-18,Financial hardship
CUST-00016,Patrick Bett,Meru,REG-04,Kenya,2024-03-21,PROD-001,PAYG,1,,
CUST-00017,Chebet Kipchoge,Nyeri,REG-01,Kenya,2025-02-03,PROD-003,PAYG,1,,
CUST-00018,Akinyi Ndungu,Embu,REG-04,Kenya,2026-04-30,PROD-002,Cash,1,,
CUST-00019,Phionah Nsubuga,Gulu,REG-07,Uganda,2024-10-09,PROD-001,Cash,1,,
CUST-00020,James Thuku,Bungoma,REG-03,Kenya,2024-03-19,PROD-006,PAYG,1,,
CUST-00021,Ritah Byaruhanga,Wakiso,REG-07,Uganda,2024-04-13,PROD-001,Cash,1,,
CUST-00022,Mark Sang,Machakos,REG-04,Kenya,2024-10-03,PROD-001,PAYG,0,2025-02-02,Seasonal
CUST-00023,Richard Byaruhanga,Kampala,REG-07,Uganda,2025-04-04,PROD-001,Cash,1,,
CUST-00024,Florence Otieno,Trans-Nzoia,REG-02,Kenya,2025-11-28,PROD-002,PAYG,1,,
CUST-00025,Josephine Namugga,Gulu,REG-07,Uganda,2026-04-30,PROD-001,Cash,1,,
CUST-00026,Joseph Rotich,Laikipia,REG-04,Kenya,2025-07-18,PROD-003,Cash,1,,
CUST-00027,George Bett,Machakos,REG-04,Kenya,2025-10-14,PROD-001,PAYG,1,,
CUST-00028,Rogers Nsubuga,Mbale,REG-07,Uganda,2025-04-30,PROD-005,PAYG,0,2025-06-01,Product failure
CUST-00029,Elijah Ndungu,Nyandarua,REG-01,Kenya,2025-05-26,PROD-002,Cash,1,,
CUST-00030,James Kiprono,Bungoma,REG-03,Kenya,2026-03-07,PROD-007,PAYG,1,,
CUST-00031,Edward Wekesa,Kajiado,REG-06,Kenya,2025-09-21,PROD-005,Cash,1,,
CUST-00032,Sarah Wekesa,Kericho,REG-02,Kenya,2025-04-15,PROD-008,PAYG,1,,
CUST-00033,Rogers Nsubuga,Mbale,REG-07,Uganda,2025-10-25,PROD-002,Cash,1,,
CUST-00034,Dennis Kimani,Nairobi,REG-06,Kenya,2025-07-22,PROD-001,PAYG,1,,
CUST-00035,George Bett,Nakuru,REG-02,Kenya,2026-04-30,PROD-003,Cash,1,,
CUST-00036,John Korir,Nyeri,REG-01,Kenya,2025-12-24,PROD-004,Cash,1,,
CUST-00037,John Langat,Kiambu,REG-01,Kenya,2025-10-03,PROD-005,PAYG,1,,
CUST-00038,Charles Mwangi,Kericho,REG-02,Kenya,2025-11-17,PROD-002,PAYG,0,2026-03-19,Seasonal
CUST-00039,Marie Coulibaly,Abidjan,REG-08,Côte d'Ivoire,2023-02-17,PROD-001,PAYG,1,,
CUST-00040,Michael Kipchoge,Bomet,REG-02,Kenya,2025-05-25,PROD-001,PAYG,1,,
CUST-00041,Samuel Kimani,Meru,REG-04,Kenya,2025-04-04,PROD-002,PAYG,1,,
CUST-00042,Richard Kabugo,Gulu,REG-07,Uganda,2024-07-09,PROD-002,Cash,1,,
CUST-00043,Hannah Thuku,Meru,REG-04,Kenya,2025-05-03,PROD-001,Cash,1,,
CUST-00044,Ruth Karanja,Kajiado,REG-06,Kenya,2025-04-28,PROD-003,Cash,1,,
CUST-00045,Koffi Yao,Bouaké,REG-08,Côte d'Ivoire,2025-01-08,PROD-007,Cash,1,,
CUST-00046,Gerald Kabugo,Gulu,REG-07,Uganda,2025-09-18,PROD-001,PAYG,0,2025-11-05,Financial hardship
CUST-00047,Michael Kimani,Kajiado,REG-06,Kenya,2025-09-28,PROD-005,PAYG,1,,
CUST-00048,Beatrice Kariuki,Nyeri,REG-01,Kenya,2023-08-10,PROD-002,Cash,1,,
CUST-00049,William Wekesa,Kiambu,REG-01,Kenya,2023-08-28,PROD-004,Cash,0,2025-04-20,Product failure
CUST-00050,Robert Mugisha,Jinja,REG-07,Uganda,2024-05-07,PROD-002,PAYG,0,2024-08-17,Product failure
CUST-00051,Wambui Cheruiyot,Kiambu,REG-01,Kenya,2024-12-16,PROD-003,PAYG,1,,
CUST-00052,Aka Koné,Bouaké,REG-08,Côte d'Ivoire,2026-04-30,PROD-002,PAYG,1,,
CUST-00053,Mercy Githinji,Meru,REG-04,Kenya,2026-01-25,PROD-007,PAYG,1,,
CUST-00054,Daniel Korir,Embu,REG-04,Kenya,2025-12-01,PROD-005,PAYG,1,,
CUST-00055,Amoin Koffi,Abidjan,REG-08,Côte d'Ivoire,2024-05-04,PROD-003,PAYG,1,,
CUST-00056,Victor Kiptoo,Kisumu,REG-03,Kenya,2024-11-27,PROD-002,PAYG,1,,
CUST-00057,Lucy Otieno,Laikipia,REG-04,Kenya,2024-09-27,PROD-002,Cash,1,,
CUST-00058,Aya Bamba,Abidjan,REG-08,Côte d'Ivoire,2023-05-27,PROD-001,PAYG,1,,
CUST-00059,David Mbugua,Kericho,REG-02,Kenya,2025-07-15,PROD-001,PAYG,1,,
CUST-00060,Yao Coulibaly,Bouaké,REG-08,Côte d'Ivoire,2024-11-22,PROD-001,Cash,1,,
CUST-00061,Josephine Okello,Jinja,REG-07,Uganda,2024-02-17,PROD-003,PAYG,1,,
CUST-00062,Florence Tanui,Bomet,REG-02,Kenya,2025-03-20,PROD-003,Cash,1,,
CUST-00063,Andrew Mutua,Murang'a,REG-01,Kenya,2024-05-10,PROD-002,PAYG,1,,
CUST-00064,Josephine Namutebi,Jinja,REG-07,Uganda,2025-12-01,PROD-004,PAYG,1,,
CUST-00065,Rogers Okello,Gulu,REG-07,Uganda,2024-04-02,PROD-003,Cash,1,,
CUST-00066,Harriet Tumwesigye,Kampala,REG-07,Uganda,2025-10-06,PROD-002,PAYG,1,,
CUST-00067,Francis Korir,Meru,REG-04,Kenya,2025-10-10,PROD-004,Cash,1,,
CUST-00068,Martin Ruto,Laikipia,REG-04,Kenya,2024-07-28,PROD-003,Cash,1,,
CUST-00069,Priscilla Kiprono,Bomet,REG-02,Kenya,2024-12-03,PROD-001,PAYG,1,,
CUST-00070,David Njenga,Embu,REG-04,Kenya,2023-03-28,PROD-007,Cash,1,,
CUST-00071,Ruth Ruto,Kiambu,REG-01,Kenya,2026-02-22,PROD-002,PAYG,1,,
CUST-00072,John Otieno,Baringo,REG-02,Kenya,2025-05-17,PROD-001,Cash,0,2025-09-12,Product failure
CUST-00073,Atieno Kamau,Embu,REG-04,Kenya,2024-10-24,PROD-002,PAYG,1,,
CUST-00074,Grace Namutebi,Gulu,REG-07,Uganda,2024-08-19,PROD-002,Cash,1,,
CUST-00075,Kevin Sang,Kajiado,REG-06,Kenya,2025-11-01,PROD-001,Cash,1,,
CUST-00076,Ronald Tumwesigye,Gulu,REG-07,Uganda,2025-05-02,PROD-002,Cash,1,,
CUST-00077,Joseph Ruto,Kajiado,REG-06,Kenya,2024-08-25,PROD-002,PAYG,1,,
CUST-00078,Charles Otieno,Baringo,REG-02,Kenya,2026-03-02,PROD-001,Cash,1,,
CUST-00079,Collins Namugga,Mbale,REG-07,Uganda,2025-02-06,PROD-001,Cash,1,,
CUST-00080,Beatrice Maina,Nakuru,REG-02,Kenya,2025-01-26,PROD-002,Cash,1,,
CUST-00081,Josephine Atuhaire,Kampala,REG-07,Uganda,2025-11-25,PROD-001,Cash,1,,
CUST-00082,Edward Njenga,Uasin Gishu,REG-02,Kenya,2025-08-10,PROD-003,Cash,1,,
CUST-00083,Samuel Cheruiyot,Laikipia,REG-04,Kenya,2024-10-05,PROD-002,PAYG,1,,
CUST-00084,Kevin Kiprono,Bungoma,REG-03,Kenya,2024-09-13,PROD-001,PAYG,1,,
CUST-00085,Robert Namutebi,Wakiso,REG-07,Uganda,2024-05-26,PROD-001,PAYG,1,,
CUST-00086,Caroline Mwangi,Nyeri,REG-01,Kenya,2026-02-23,PROD-003,PAYG,1,,
CUST-00087,Victor Kiprono,Nakuru,REG-02,Kenya,2024-10-27,PROD-001,PAYG,1,,
CUST-00088,Kevin Wekesa,Nyandarua,REG-01,Kenya,2024-12-02,PROD-006,Cash,1,,
